hardness_mgL,conductivity_uScm
248.22879999999998,501.0
24.6155,357.0
16.988599999999998,64.0
32.1024,136.0
134.0594,280.0
132.562,286.0
44.4294,158.0
156.525,1450.0
58.89970000000001,294.0
11.5214,38.0
135.673,536.0
15.0786,246.0
63.2224,169.0
2.9833,70.0
40.7232,142.0
138.256,297.0
78.8446,196.0
85.25,299.0
44.7364,327.0
125.947,298.0
78.8446,214.0
26.9242,122.0
27.9885,95.0
25.0052,71.0
144.87099999999998,281.0
88.7016,215.0
19.958799999999997,90.0
101.85300000000001,295.0
80.387,194.0
76.7856,507.0
14.417100000000001,57.0
24.4534,54.0
24.602400000000003,79.0
147.3156,282.0
90.244,397.0
1.5727000000000002,253.0
6.7157,25.0
73.2816,251.0
147.7798,370.0
129.0654,279.0
24.317500000000003,68.0
11.1096,265.0
102.115,205.0
36.1721,212.0
5.3796,308.0
125.071,290.0
149.0938,506.0
115.214,259.0
125.071,284.0
137.4848,351.0
14.9165,315.0
55.626599999999996,176.0
95.4738,200.0
132.562,285.0
115.1166,271.0
279.885,641.0
9.1251,341.0
191.1572,364.0
1.9845000000000002,179.0
12.4809,46.0
6.3039,377.0
4.3063,304.0
164.409,319.0
294.605,783.0
205.196,389.0
1.6602999999999999,255.0
12.4326,311.0
39.5631,334.0
569.193,1230.0
217.7482,463.0
287.245,728.0
129.0654,299.0
3.4827000000000004,315.0
117.5088,265.0
0.9112,49.0
135.059,294.0
213.95600000000002,398.0
1.5727000000000002,280.0
16.4147,345.0
266.131,490.0
14.0929,547.0
12.0339,87.0
16.550600000000003,80.0
9.7121,317.0
90.244,225.0
38.620799999999996,103.0
5.9666,44.0
2.6460000000000004,373.0
73.49119999999999,300.0
24.7997,110.0
1.8224,293.0
7.4779,331.0
131.1244,303.0
133.438,298.0
3.0578000000000003,314.0
211.59,408.0
25.0666,73.0
292.984,906.0
237.69799999999998,636.0
14.355699999999999,124.0
172.0572,338.0
149.296,315.0
724.326,1720.0
94.4668,291.0
162.526,347.0
58.483000000000004,142.0
412.054,1130.0
206.08679999999998,413.0
186.08460000000002,374.0
216.674,541.0
1.6602999999999999,262.0
182.985,411.0
12.130500000000001,929.0
7.053,38.0
4.8057,18.0
253.777,452.0
151.5384,328.0
91.86500000000001,201.0
246.41700000000003,578.0
2.6591,245.0
95.7284,294.0
34.4635,85.0
429.92599999999993,1170.0
28.6983,68.0
3.0709,279.0
18.622700000000002,100.0
98.128,213.0
329.956,473.0
308.277,659.0
11.022,314.0
86.2308,407.0
272.353,501.0
13.768699999999999,559.0
209.57600000000002,440.0
139.922,344.0
11.5828,331.0
87.616,383.0
218.336,444.0
99.356,289.0
140.053,302.0
156.656,360.0
116.6852,259.0
394.927,882.0
426.15999999999997,876.0
277.519,600.0
8.8009,324.0
25.290100000000002,150.0
275.63599999999997,710.0
152.276,377.0
16.0905,71.0
29.4605,78.0
5.6162,299.0
2.4839,326.0
27.572599999999998,128.0
12.7699,323.0
102.729,298.0
401.71399999999994,969.0
3.4827000000000004,296.0
273.188,499.0
21.0583,431.0
225.172,452.0
126.82300000000001,282.0
21.1066,117.0
30.2055,150.0
159.8792,352.0
41.5468,114.0
4.3063,291.0
17.0631,344.0
119.9796,263.0
1.4106,281.0
41.766200000000005,175.0
155.911,346.0
5.9666,28.0
35.0988,352.0
103.1932,232.0
123.2216,274.0
221.316,462.0
182.24,382.0
340.16499999999996,620.0
346.166,836.0
13.3045,40.0
100.5202,219.0
20.0374,86.0
100.232,296.0
337.799,808.0
14.977900000000002,333.0
23.231099999999998,436.0
180.75,442.0
12.6078,326.0
9.361699999999999,31.0
